Machine Break : Load at Machine Break,40340,N
,,
Time,Extension,Load
(sec),(mm),(N)
0,0,0
0.1,0.0129,0
0.2,0.0296,2.68
0.3,0.0463,5.36
0.4,0.063,5.36
0.5,0.0796,8.05
0.6,0.0963,5.36
0.7,0.113,5.36
0.8,0.1296,8.05
0.9,0.1463,5.36
1,0.1629,8.05
1.1,0.1796,8.05
1.2,0.1963,8.05
1.3,0.2129,8.05
1.4,0.2296,8.05
1.5,0.2463,8.05
1.6,0.263,8.05
1.7,0.2796,8.05
1.8,0.2963,10.73
1.9,0.313,13.42
2,0.3296,16.1
2.1,0.3463,16.1
2.2,0.3629,18.79
2.3,0.3796,18.79
2.4,0.3963,16.1
2.5,0.413,18.79
2.6,0.4296,18.79
2.7,0.4463,18.79
2.8,0.463,18.79
2.9,0.4796,18.79
3,0.4963,18.79
3.1,0.5129,18.79
3.2,0.5296,18.79
3.3,0.5463,18.79
3.4,0.5629,18.79
3.5,0.5796,18.79
3.6,0.5963,18.79
3.7,0.613,18.79
3.9,0.6463,18.79
4,0.663,18.79
4.1,0.6796,18.79
4.2,0.6963,18.79
4.3,0.7129,18.79
4.4,0.7296,18.79
4.5,0.7463,18.79
4.6,0.763,18.79
4.7,0.7796,18.79
4.8,0.7963,18.79
4.9,0.813,18.79
5,0.8297,18.79
5.1,0.8463,18.79
5.2,0.863,18.79
5.3,0.8796,18.79
5.4,0.8963,18.79
5.5,0.9129,18.79
5.6,0.9296,18.79
5.7,0.9463,18.79
5.8,0.963,18.79
5.9,0.9796,18.79
6,0.9963,18.79
6.1,1.013,18.79
6.2,1.0297,18.79
6.3,1.0463,18.79
6.4,1.063,18.79
6.5,1.0796,18.79
6.6,1.0963,18.79
6.7,1.113,18.79
6.8,1.1296,18.79
6.9,1.1463,18.79
7,1.163,18.79
7.1,1.1797,18.79
7.2,1.1963,18.79
7.3,1.213,18.79
7.4,1.2297,18.79
7.5,1.2463,18.79
7.6,1.263,18.79
7.7,1.2796,18.79
7.8,1.2963,18.79
7.9,1.313,21.47
8,1.3296,24.16
8.1,1.3463,24.16
8.2,1.363,21.47
8.3,1.3797,24.16
8.4,1.3963,24.16
8.5,1.413,24.16
8.6,1.4296,24.16
8.7,1.4463,24.16
8.8,1.463,24.16
8.9,1.4796,24.16
9,1.4963,26.84
9.1,1.513,26.84
9.2,1.5297,29.52
9.3,1.5463,29.52
9.4,1.563,29.52
9.5,1.5797,29.52
9.6,1.5963,29.52
9.7,1.613,29.52
9.8,1.6296,29.52
9.9,1.6463,29.52
10,1.663,29.52
10.1,1.6796,29.52
10.2,1.6963,29.52
10.3,1.713,29.52
10.4,1.7297,32.21
10.5,1.7463,29.52
10.6,1.763,29.52
10.7,1.7797,29.52
10.8,1.7963,32.21
10.9,1.813,32.21
11,1.8296,34.89
11.1,1.8463,37.58
11.2,1.863,53.69
11.3,1.8797,85.9
11.4,1.8963,147.63999
11.5,1.913,236.22999
11.6,1.9297,348.98
11.7,1.9464,483.21001
11.8,1.963,636.22999
11.9,1.9797,808.03996
12,1.9963,993.26996
12.1,2.013,1191.93001
12.2,2.0296,1401.32001
12.3,2.0463,1624.13996
12.4,2.063,1860.36993
12.5,2.0797,2099.29999
12.6,2.0963,2351.63998
12.7,2.113,2609.36003
12.8,2.1297,2875.13006
12.9,2.1464,3146.25986
13,2.163,3420.08993
13.1,2.1797,3704.64996
13.2,2.1963,3989.20998
13.3,2.213,4284.49996
13.4,2.2297,4577.12002
13.5,2.2463,4877.78001
13.6,2.263,5186.51009
13.7,2.2797,5492.54008
13.8,2.2964,5806.6301
13.9,2.313,6118.04016
14.2,2.363,7076.4102
14.3,2.3797,7403.93028
14.4,2.3963,7731.43992
14.5,2.413,8064.31994
14.6,2.4297,8399.89036
14.7,2.4463,8732.76964
14.8,2.463,9071.02004
14.9,2.4797,9409.26969
15,2.4964,9755.5697
15.1,2.513,10099.18973
15.2,2.5297,10448.18014
15.3,2.5463,10791.80017
15.4,2.563,11140.78984
15.5,2.5796,11489.78025
15.6,2.5963,11838.76991
15.7,2.613,12187.76032
15.8,2.6297,12542.11962
15.9,2.6464,12891.10929
16,2.663,13245.46039
16.1,2.6797,13615.93008
16.2,2.6964,13997.1301
16.3,2.713,14378.33011
16.4,2.7297,14764.90945
16.5,2.7463,15151.47984
16.6,2.763,15543.42061
16.7,2.7797,15940.73027
16.8,2.7963,16332.66956
16.9,2.813,16724.61033
17,2.8297,17121.91999
17.1,2.8464,17524.60003
17.2,2.863,17921.90969
17.3,2.8797,18319.21935
17.4,2.8964,18823.92019
17.5,2.913,19368.87056
17.6,2.9297,19919.20024
17.7,2.9463,20469.52993
17.8,2.963,21006.43963
17.9,2.9797,21556.76931
18,2.9963,22080.25008
18.1,3.013,22617.15978
18.2,3.0297,23167.48053
18.3,3.0464,23704.39023
18.4,3.0631,24254.71991
18.5,3.0797,24805.0496
18.6,3.0964,25341.94887
18.7,3.113,25905.69854
18.8,3.1297,26456.0312
18.9,3.1463,27006.36089
19,3.163,27570.11056
19.1,3.1797,28147.28916
19.2,3.1964,28724.45881
19.3,3.213,29301.63145
19.4,3.2297,29865.38112
19.5,3.2464,30455.9797
19.6,3.263,31046.58127
19.7,3.2797,31623.75093
19.8,3.2964,32214.34951
19.9,3.313,32804.93915
20,3.3297,33395.54071
20.1,3.3463,33999.55928
20.2,3.363,34590.16085
20.3,3.3797,35180.75049
20.4,3.3964,35771.34907
20.5,3.413,36321.67876
20.6,3.4297,36791.47065
20.7,3.4464,36724.3588
20.8,3.463,35529.73866
20.9,3.4797,35059.94976
21,3.4963,35153.91052
21.1,3.513,35382.08902
21.2,3.5297,35650.55132
21.3,3.5464,35892.14981
21.4,3.563,36066.65134
21.5,3.5797,36227.72098
21.6,3.5964,36335.09874
21.7,3.6131,36335.09874
21.8,3.6297,36388.79061
21.9,3.6464,36388.79061
22,3.663,36335.09874
22.1,3.6797,36308.25877
22.2,3.6963,36348.51873
22.3,3.713,36335.09874
22.4,3.7297,36335.09874
22.5,3.7464,36227.72098
22.6,3.763,36133.76021
22.7,3.7797,36053.21944
22.8,3.7964,36039.79945
22.9,3.8131,35932.4187
23,3.8297,35892.14981
23.1,3.8464,35825.04094
23.2,3.863,35811.62095
23.3,3.8797,35771.34907
23.4,3.8964,35798.18904
23.5,3.913,35798.18904
23.6,3.9297,35784.76906
23.7,3.9463,35757.92909
23.8,3.9631,35717.66019
23.9,3.9797,35650.55132
24,3.9963,35623.69943
24.1,4.0131,35650.55132
24.2,4.0297,35717.66019
24.45,4.0714,35637.11941
24.55,4.088,35570.01054
24.65,4.1047,35556.59056
24.75,4.1214,35395.52093
24.85,4.138,35234.43937
24.95,4.1546,35328.40014
25.05,4.1714,35489.46977
25.15,4.188,35731.08017
25.25,4.2047,35999.53055
25.35,4.2214,36267.98987
25.45,4.238,36536.44025
25.55,4.2547,36791.47065
25.65,4.2713,37046.50104
25.75,4.288,37261.25956
25.85,4.3047,37449.18108
25.95,4.3213,37623.6707
26.05,4.3381,37771.32034
26.15,4.3547,37918.96999
26.25,4.3713,38053.19965
26.35,4.3881,38200.84929
26.45,4.4047,38321.65003
26.55,4.4214,38455.87969
26.65,4.438,38576.68042
26.75,4.4547,38710.91008
26.85,4.4714,38831.71082
26.95,4.488,38952.52049
27.05,4.5046,39073.32122
27.15,4.5214,39194.11898
27.25,4.538,39314.92865
27.35,4.5548,39435.72938
27.45,4.5714,39556.53906
27.55,4.588,39663.91981
27.65,4.6047,39784.72054
27.75,4.6214,39892.10129
27.85,4.638,40012.91096
27.95,4.6547,40120.28873
28.05,4.6713,40241.08946
28.15,4.6881,40348.47021
28.25,4.7047,40469.27989
28.35,4.7213,40576.66063
28.45,4.7381,40684.04138
28.55,4.7547,40791.41915
28.65,4.7713,40898.7999
28.75,4.7881,41006.18064
28.85,4.8047,41100.14141
28.95,4.8214,41220.93916
29.05,4.838,41314.89992
29.15,4.8547,41422.28067
29.25,4.8714,41529.66142
29.35,4.888,41637.05111
29.45,4.9048,41730.99995
29.55,4.9214,41824.96071
29.65,4.938,41932.34146
29.75,4.9547,42026.29924
29.85,4.9714,42120.26
29.95,4.988,42214.22076
30.05,5.0047,42321.59853
30.15,5.0214,42402.13931
30.25,5.0381,42509.52005
30.35,5.0547,42603.48082
30.45,5.0713,42684.00967
30.55,5.0881,42777.97043
30.65,5.1047,42871.9312
30.75,5.1213,42952.46899
30.85,5.1381,43046.42081
30.95,5.1547,43153.8105
31.05,5.1714,43234.33936
31.15,5.188,43314.88013
31.25,5.2047,43408.84089
31.35,5.2214,43489.36975
31.45,5.238,43583.33051
31.55,5.2548,43677.29127
31.65,5.2714,43757.82013
31.75,5.288,43838.36091
31.85,5.3048,43918.8987
31.95,5.3214,44012.85052
32.05,5.338,44093.3913
32.15,5.3547,44173.9291
32.25,5.3714,44267.88092
32.35,5.3881,44348.41871
32.45,5.4047,44442.37947
32.55,5.4213,44522.92025
32.65,5.4381,44616.86909
32.75,5.4547,44683.98988
32.85,5.4713,44764.51874
32.95,5.4881,44858.4795
33.05,5.5047,44939.02028
33.15,5.5214,45019.54913
33.25,5.5381,45100.08991
33.35,5.5547,45194.05067
33.45,5.5714,45274.57952
33.55,5.588,45341.70032
33.65,5.6048,45435.66108
33.75,5.6214,45516.18993
33.85,5.638,45596.73071
33.95,5.6548,45677.25956
34.05,5.6714,45757.80034
34.15,5.688,45824.90921
34.25,5.7048,45918.86997
34.35,5.7214,45999.41075
34.45,5.7381,46066.51962
34.75,5.7881,46294.7011
34.85,5.8047,46375.2389
34.95,5.8213,46455.77967
35.05,5.8381,46536.30853
35.15,5.8547,46603.42932
35.25,5.8714,46683.96115
35.35,5.8881,46751.07002
35.45,5.9047,46831.6108
