Rain,566
"Rain,Fog",348
Rain Showers,93
"Freezing Rain,Fog",70
Freezing Rain,56
"Moderate Rain,Fog",22
"Thunderstorms,Rain Showers",18
"Rain Showers,Fog",14
"Rain,Drizzle,Fog",11
"Thunderstorms,Rain",7
"Moderate Rain Showers,Fog",6
"Rain,Snow",5
"Freezing Rain,Ice Pellets,Fog",5
"Rain,Ice Pellets,Fog",5
"Thunderstorms,Rain Showers,Fog",3
"Thunderstorms,Rain,Fog",3
"Rain,Snow,Fog",3
"Freezing Rain,Ice Pellets",3
"Thunderstorms,Moderate Rain Showers,Fog",2
"Thunderstorms,Moderate Rain Showers",2
"Freezing Rain,Blowing Snow",1
"Rain,Drizzle,Ice Pellets",1
Moderate Rain,1
"Rain,Haze",1
"Rain,Drizzle",1
"Freezing Rain,Freezing Drizzle,Fog",1
"Heavy Rain,Fog",1
